filename,num_makeup_region,num_extra_region,num_surplus_region,makeup_time,extra_time,surplus_time,subregion_time,num_subregion_with_annot,skip_silence_overlap_hour,skip_time,silence_time,silence_raw_hour,end_time,total_listen_time,positions,ranks,subregion_raw_hour,num_raw_subregion,annotation_counts_raw
43_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,10877260,1939940,0.54,38401490,25584290,[],[],0.0,0.0,[]
43_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,0,14925340,4.15,54478240,39552900,[],[],0.0,0.0,[]
43_08_sparse_code.cha,1,0,0,676720,0,0,14400000,4,0,0,5803390,1.61,45837800,15076720,"['1', '2', '3', '4', '5']","['4', '5', '1', '3', '2']",5.0,5.0,"[40, 16, 57, 37, 2]"
43_09_sparse_code.cha,1,0,0,720550,0,0,13577280,4,0,740190,8813850,2.45,56998860,14297830,"['1', '2', '3', '4', '5']","['1', '2', '5', '3', '4']",5.0,5.0,"[55, 52, 14, 15, 16]"
43_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,16583830,4.61,50684490,14400000,"['1', '2', '3', '4', '5']","['5', '3', '1', '4', '2']",5.0,5.0,"[0, 38, 61, 46, 29]"
43_11_sparse_code.cha,1,0,0,950790,0,0,13457280,4,0,942720,8754600,2.43,47892800,14408070,"['1', '2', '3', '4', '5']","['3', '1', '5', '2', '4']",5.0,5.0,"[113, 32, 20, 20, 41]"
43_12_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,12882320,3.58,41274300,14400000,"['1', '2', '3', '4', '5']","['1', '4', '2', '5', '3']",5.0,5.0,"[97, 36, 107, 0, 71]"
43_13_sparse_code.cha,1,0,0,1074330,0,0,13025040,4,0,1375270,6974950,1.94,45180610,14099370,"['1', '2', '3', '4', '5']","['5', '1', '2', '4', '3']",5.0,5.0,"[22, 198, 53, 51, 52]"
43_14_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10806520,3.0,43200000,10800000,"['1', '2', '3', '4', '5']","['5', '3', '1', '4', '2']",5.0,5.0,"[0, 56, 36, 0, 111]"
43_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,5996880,1.67,42474860,10800000,"['1', '2', '3', '4', '5']","['4', '1', '2', '3', '5']",5.0,5.0,"[0, 62, 65, 171, 0]"
43_16_sparse_code.cha,0,0,0,0,0,0,10551620,3,0,0,14204590,3.95,45871800,10551620,"['1', '2', '3', '4', '5']","['3', '4', '2', '5', '1']",5.0,5.0,"[96, 0, 162, 0, 132]"
43_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,6845070,1.9,47250360,10800000,"['1', '2', '3', '4', '5']","['1', '2', '5', '4', '3']",5.0,5.0,"[105, 151, 0, 0, 221]"
44_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,3016900,29538770,8.21,57599990,25044320,[],[],0.0,0.0,[]
44_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,0,10744180,2.98,39724680,28980500,[],[],0.0,0.0,[]
44_08_sparse_code.cha,0,0,0,0,0,0,14068550,4,0,0,21304940,5.92,44400000,14068550,"['1', '2', '3', '4', '5']","['3', '2', '5', '1', '4']",5.0,5.0,"[1, 22, 0, 10, 14]"
44_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,5591010,1.55,40095360,14400000,"['1', '2', '3', '4', '5']","['3', '5', '2', '4', '1']",5.0,5.0,"[5, 0, 24, 34, 5]"
44_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,30084500,8.36,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '1', '4', '3', '2']",5.0,5.0,"[0, 13, 9, 21, 72]"
44_11_sparse_code.cha,0,0,0,0,0,0,14036030,4,0,0,10118010,2.81,45651550,14036030,"['1', '2', '3', '4', '5']","['1', '2', '4', '3', '5']",5.0,5.0,"[13, 69, 42, 18, 0]"
44_12_sparse_code.cha,0,0,1,0,0,378920,14400000,4,0,0,6272380,1.74,41403800,14400000,"['1', '2', '3', '4', '5']","['4', '2', '1', '5', '3']",5.0,5.0,"[115, 12, 14, 0, 29]"
44_13_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,4630900,1.29,46806240,14400000,"['1', '2', '3', '4', '5']","['4', '5', '1', '2', '3']",5.0,5.0,"[19, 0, 70, 27, 123]"
44_14_sparse_code.cha,1,5,0,3600510,2318550,0,4879910,3,0,5919390,240740,0.07,40144050,10798970,"['1', '2', '3', '4', '5']","['2', '3', '5', '1', '4']",5.0,5.0,"[47, 27, 66, 20, 0]"
44_15_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,7822740,2.17,33907430,10800000,"['1', '2', '3', '4', '5']","['3', '2', '4', '1', '5']",5.0,5.0,"[64, 56, 0, 48, 0]"
44_16_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10338050,2.87,37327860,10800000,"['1', '2', '3', '4', '5']","['1', '4', '2', '3', '5']",5.0,5.0,"[146, 0, 220, 80, 0]"
44_17_sparse_code.cha,0,0,0,0,0,0,10800000,3,0,0,10760250,2.99,33900000,10800000,"['1', '2', '3', '4', '5']","['2', '1', '3', '5', '4']",5.0,5.0,"[57, 97, 58, 0, 0]"
45_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,1187830,17914860,4.98,45795990,26693300,[],[],0.0,0.0,[]
45_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,2669510,9698670,2.69,38100930,25732750,[],[],0.0,0.0,[]
45_08_sparse_code.cha,1,0,1,2220190,0,59180,12145280,4,0,974940,7306550,2.03,50055300,14365470,"['1', '2', '3', '4', '5']","['5', '2', '1', '4', '3']",5.0,5.0,"[18, 2, 14, 48, 28]"
45_09_sparse_code.cha,1,0,0,1410960,0,0,12791090,4,0,1410480,22806060,6.34,50457740,14202050,"['1', '2', '3', '4', '5']","['2', '1', '5', '3', '4']",5.0,5.0,"[29, 19, 17, 10, 23]"
45_10_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,0,0.0,19200000,14400000,"['1', '2', '3', '4']","['3', '1', '2', '4']",4.0,4.0,"[14, 21, 4, 10]"
45_11_sparse_code.cha,0,0,0,0,0,0,14170350,4,0,0,26364700,7.32,57599990,14170350,"['1', '2', '3', '4', '5']","['3', '4', '1', '5', '2']",5.0,5.0,"[11, 20, 16, 0, 22]"
45_12_sparse_code.cha,1,0,0,900350,0,0,12995800,4,0,1404200,9225300,2.56,44279490,13896150,"['1', '2', '3', '4', '5']","['1', '5', '4', '2', '3']",5.0,5.0,"[37, 0, 33, 24, 25]"
45_13_sparse_code.cha,0,0,0,0,0,0,14399000,4,0,0,6300980,1.75,48841800,14399000,"['1', '2', '3', '4', '5']","['2', '1', '3', '5', '4']",5.0,5.0,"[47, 16, 42, 0, 42]"
45_14_sparse_code.cha,1,0,0,868290,0,0,9936250,3,0,863750,7637120,2.12,45346240,10804540,"['1', '2', '3', '4', '5']","['2', '5', '4', '3', '1']",5.0,5.0,"[84, 0, 20, 50, 144]"
45_15_sparse_code.cha,0,0,0,0,0,0,10646070,3,0,0,14303820,3.97,41708610,10646070,"['1', '2', '3', '4', '5']","['2', '5', '4', '1', '3']",5.0,5.0,"[34, 0, 0, 22, 43]"
45_16_sparse_code.cha,1,0,0,1247340,0,0,9552960,3,0,1247040,5280450,1.47,40858680,10800300,"['1', '2', '3', '4', '5']","['4', '3', '5', '2', '1']",5.0,5.0,"[6, 96, 0, 72, 27]"
45_17_sparse_code.cha,1,0,0,69520,0,0,10732230,3,0,66920,14014180,3.89,33981490,10801750,"['1', '2', '3', '4', '5']","['3', '2', '5', '4', '1']",5.0,5.0,"[75, 62, 0, 0, 123]"
46_06_sparse_code.cha,0,0,0,0,0,0,0,0,0,5643960,0,0.75,40291490,34647530,[],[],0.0,0.0,[]
46_07_sparse_code.cha,0,0,0,0,0,0,0,0,0,2831140,4556210,1.27,38550240,31162890,[],[],0.0,0.0,[]
46_08_sparse_code.cha,1,0,0,2297030,0,0,11591990,4,0,2294820,8200920,2.28,38245610,13889020,"['1', '2', '3', '4', '5']","['4', '1', '3', '2', '5']",5.0,5.0,"[26, 33, 10, 38, 47]"
46_09_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,3776640,1.05,40520800,14400000,"['1', '2', '3', '4', '5']","['1', '2', '4', '5', '3']",5.0,5.0,"[52, 23, 33, 0, 25]"
46_10_sparse_code.cha,1,0,0,780860,0,0,13133760,4,0,1267130,6776280,1.88,39422550,13914620,"['1', '2', '3', '4', '5']","['2', '3', '4', '5', '1']",5.0,5.0,"[30, 21, 8, 1, 73]"
46_11_sparse_code.cha,0,0,0,0,0,0,14400000,4,0,0,25200330,7.0,57599990,14400000,"['1', '2', '3', '4', '5']","['5', '3', '1', '2', '4']",5.0,5.0,"[0, 65, 25, 22, 98]"
